Группа (подтип драйвера);Поле;Каналов;Пример тега (без префикса Барановичи-1.BN1_MCA1.);Сейчас у шлюза (controllers.yaml);В архиве 11–15.06.2026;Предлагаемый тип;Почему;Уверенность;Исправление (заполнить);Комментарий
G_VOLTAGE;VOLTAGE;3;G_VOLTAGE.CAB1G1.VOLTAGE;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
HA_M;M;2;HA_M.HA1.M;FLOAT×2;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
HA_ST;ST;2;HA_ST.H1HA1.ST;BOOLEAN×2;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
HL_M;M;2;HL_M.HL3.M;FLOAT×2;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
HL_ST;ST;2;HL_ST.H1HL1.ST;BOOLEAN×2;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
HLA_L_RED;L_RED;1;HLA_L_RED.CAB1HLA1.L_RED;—;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
HLA_L_SIREN;L_SIREN;1;HLA_L_SIREN.CAB1HLA1.L_SIREN;—;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
HLA_M;M;1;HLA_M.CAB1HLA1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
HLA_ST;ST;1;HLA_ST.CAB1HLA1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
LS_M;M;24;LS_M.LS8.M;FLOAT×24;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
LS_P_DT;P_DT;15;LS_P_DT.LINE3LS2.P_DT;FLOAT×9;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LS_P_ERR;P_ERR;15;LS_P_ERR.LINE1LS3.P_ERR;FLOAT×9;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LS_ST;ST;24;LS_ST.LINE5LS3.ST;FLOAT×1,BOOLEAN×23;10 кан., 17142 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
LS_V;V;15;LS_V.LINE3LS2.V;FLOAT×9;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
LT_CLEVEL;CLEVEL;3;LT_CLEVEL.LT3.CLEVEL;—;3 кан., 45077 зап., 20 … 7950, только целые, разных >40;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
LT_M;M;3;LT_M.LT1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
LT_P_CZ;P_CZ;3;LT_P_CZ.LT1.P_CZ;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LT_P_ERR;P_ERR;3;LT_P_ERR.LT1.P_ERR;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LT_P_H_CONE;P_H_CONE;3;LT_P_H_CONE.LT3.P_H_CONE;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LT_P_MAX_P;P_MAX_P;3;LT_P_MAX_P.LT3.P_MAX_P;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LT_P_R;P_R;3;LT_P_R.LT2.P_R;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
LT_V;V;3;LT_V.LT1.V;—;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
M_EST;EST;3;M_EST.LINE1M1.EST;FLOAT×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
M_FRQ;FRQ;3;M_FRQ.LINE1M1.FRQ;FLOAT×1;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
M_M;M;12;M_M.M103.M;FLOAT×12;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
M_P_ON_TIME;P_ON_TIME;12;M_P_ON_TIME.LINE2M1002.P_ON_TIME;FLOAT×12;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
M_R;R;3;M_R.LINE3M1.R;BOOLEAN×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
M_RPM;RPM;3;M_RPM.LINE1M1.RPM;FLOAT×1;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
M_ST;ST;12;M_ST.LINE4M1.ST;BOOLEAN×12;3 кан., 2847 зап., -100 … 1, только целые, разных 4;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
M_V;V;10;M_V.LINE4M1.V;FLOAT×10;3 кан., 32650 зап., 0 … 100, есть дробные;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
PT_M;M;6;PT_M.LINE6PT1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
PT_P_CZ;P_CZ;6;PT_P_CZ.LINE2PT1.P_CZ;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
PT_P_ERR;P_ERR;3;PT_P_ERR.LINE3PT1.P_ERR;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
PT_P_MAX_V;P_MAX_V;6;PT_P_MAX_V.LINE3PT1.P_MAX_V;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
PT_P_MIN_V;P_MIN_V;6;PT_P_MIN_V.LINE2PT1.P_MIN_V;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
PT_ST;ST;6;PT_ST.LINE3PT1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
PT_V;V;6;PT_V.LINE2PT1.V;—;3 кан., 18543 зап., -0,79 … 32,76, есть дробные;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
QT_M;M;6;QT_M.LINE6QT1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
QT_P_CZ;P_CZ;6;QT_P_CZ.LINE4QT1.P_CZ;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
QT_P_ERR;P_ERR;3;QT_P_ERR.LINE2QT1.P_ERR;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
QT_P_MAX_V;P_MAX_V;6;QT_P_MAX_V.LINE1QT1.P_MAX_V;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
QT_P_MIN_V;P_MIN_V;6;QT_P_MIN_V.LINE2QT1.P_MIN_V;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
QT_ST;ST;6;QT_ST.LINE1QT1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
QT_T;T;6;QT_T.LINE4QT1.T;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
QT_V;V;6;QT_V.LINE6QT1.V;—;3 кан., 20271 зап., 0,01 … 1000, есть дробные;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
SB_M;M;5;SB_M.CAB1SB1.M;FLOAT×5;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
SB_P_DT;P_DT;3;SB_P_DT.CAB1SB1.P_DT;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
SB_ST;ST;5;SB_ST.CAB1SB1.ST;BOOLEAN×5;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
SYSTEM;CMD;2;SYSTEM.CMD;—;нет данных;INT32;код команды контроллеру;средняя;;
SYSTEM;CMD_ANSWER;2;SYSTEM.CMD_ANSWER;—;нет данных;STRING;в базе каналов помечен «Строковый»;высокая;;
SYSTEM;NODEENABLED[*];12;SYSTEM.NODEENABLED[5];—;нет данных;INT32;флаг включения узла IO (0/1);средняя;;
SYSTEM;P_AUTO_PAUSE_OPER_ON_DEV_ERR;2;SYSTEM.SYSTEM.P_AUTO_PAUSE_OPER_ON_DEV_ERR;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;P_RESTRICTIONS_MANUAL_TIME;2;SYSTEM.P_RESTRICTIONS_MANUAL_TIME;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;P_RESTRICTIONS_MODE;2;SYSTEM.SYSTEM.P_RESTRICTIONS_MODE;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;P_V_OFF_DELAY_TIME;1;SYSTEM.P_V_OFF_DELAY_TIME;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;UP_TIME;2;SYSTEM.SYSTEM.UP_TIME;—;нет данных;STRING;в базе каналов помечен «Строковый» (время работы текстом);высокая;;
SYSTEM;VERSION;1;SYSTEM.SYSTEM.VERSION;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;WASH_VALVE_LOWER_SEAT_TIME;2;SYSTEM.WASH_VALVE_LOWER_SEAT_TIME;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;WASH_VALVE_SEAT_PERIOD;2;SYSTEM.SYSTEM.WASH_VALVE_SEAT_PERIOD;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
SYSTEM;WASH_VALVE_UPPER_SEAT_TIME;2;SYSTEM.WASH_VALVE_UPPER_SEAT_TIME;—;нет данных;INT32;системный параметр PAC (u_int);низкая;;
TE_M;M;12;TE_M.LINE2TE1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
TE_P_CZ;P_CZ;12;TE_P_CZ.LINE5TE1.P_CZ;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
TE_ST;ST;6;TE_ST.LINE1TE1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
TE_V;V;12;TE_V.LINE2TE2.V;FLOAT×1;6 кан., 90713 зап., -3276,7 … 3225,6, есть дробные;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
V_M;M;13;V_M.LINE2V1006.M;FLOAT×155;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
V_M_N;M;155;V_M_3.LINE3V5.M;FLOAT×155;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
V_ST;ST;13;V_ST.LINE3V1007.ST;BOOLEAN×155;53 кан., 25120 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
V_ST_N;ST;155;V_ST_4.LINE4V15.ST;BOOLEAN×155;53 кан., 25120 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
VC_BLINK;BLINK;3;VC_BLINK.LINE2VC14.BLINK;FLOAT×2,BOOLEAN×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
VC_CLOSED;CLOSED;3;VC_CLOSED.LINE3VC14.CLOSED;FLOAT×2,BOOLEAN×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
VC_M;M;6;VC_M.LINE5VC14.M;FLOAT×6;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
VC_NAMUR_ST;NAMUR_ST;3;VC_NAMUR_ST.LINE1VC14.NAMUR_ST;FLOAT×2,BOOLEAN×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
VC_OPENED;OPENED;3;VC_OPENED.LINE1VC14.OPENED;FLOAT×2,BOOLEAN×1;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
VC_ST;ST;6;VC_ST.LINE2VC14.ST;BOOLEAN×6;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
VC_V;V;6;VC_V.LINE1VC14.V;FLOAT×6;3 кан., 42795 зап., -2,31 … 98,93, есть дробные;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
WATCHDOG_M;M;10;WATCHDOG_M.LINE2WATCHDOG12.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
WATCHDOG_P_T_ERR;P_T_ERR;10;WATCHDOG_P_T_ERR.LINE1WATCHDOG101.P_T_ERR;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
WATCHDOG_P_T_GEN;P_T_GEN;10;WATCHDOG_P_T_GEN.LINE2WATCHDOG101.P_T_GEN;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
WATCHDOG_ST;ST;10;WATCHDOG_ST.LINE1WATCHDOG101.ST;—;3 кан., 8 зап., -1 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
Параметры_линии_N;RT_PAR_F[*];708;Параметры_линии_4.OBJECT4.RT_PAR_F[10];—;9 кан., 80521 зап., 0 … 6418, есть дробные;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_самоочистки_станции;PAR_SELFCLEAN[*];19;Параметры_самоочистки_станции.OBJECT1.PAR_SELFCLEAN[2];—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;P_V_OFF_DELAY_TIME;1;Параметры_станции.SYSTEM.P_V_OFF_DELAY_TIME;—;нет данных;INT32;системный параметр PAC (u_int), время в мс;низкая;;
Параметры_станции;PAR_MAIN[*];4;Параметры_станции.OBJECT1.PAR_MAIN[7];—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_ALFK;1;Параметры_станции.OBJECT1.PAR_MAIN[11].P_ALFK;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_ALFS;1;Параметры_станции.OBJECT1.PAR_MAIN[12].P_ALFS;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CKANAL_K;1;Параметры_станции.OBJECT1.PAR_MAIN[6].P_CKANAL_K;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CKANAL_S;1;Параметры_станции.OBJECT1.PAR_MAIN[3].P_CKANAL_S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CMIN_K;1;Параметры_станции.OBJECT1.PAR_MAIN[5].P_CMIN_K;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CMIN_S;1;Параметры_станции.OBJECT1.PAR_MAIN[2].P_CMIN_S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CONC25K;1;Параметры_станции.OBJECT1.PAR_MAIN[19].P_CONC25K;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CONC25S;1;Параметры_станции.OBJECT1.PAR_MAIN[17].P_CONC25S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CZAD_K;1;Параметры_станции.OBJECT1.PAR_MAIN[4].P_CZAD_K;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_CZAD_S;1;Параметры_станции.OBJECT1.PAR_MAIN[1].P_CZAD_S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_FLOW_RR;1;Параметры_станции.OBJECT1.PAR_MAIN[30].P_FLOW_RR;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_K_S;1;Параметры_станции.OBJECT1.PAR_MAIN[13].P_K_S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_K_К;1;Параметры_станции.OBJECT1.PAR_MAIN[14].P_K_К;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_MAX_BULK_FOR_ACID;1;Параметры_станции.OBJECT1.PAR_MAIN[32].P_MAX_BULK_FOR_ACID;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_MAX_BULK_FOR_CAUSTIC;1;Параметры_станции.OBJECT1.PAR_MAIN[31].P_MAX_BULK_FOR_CAUSTIC;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_MS25K;2;Параметры_станции.OBJECT1.PAR_MAIN[20].P_MS25K;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_MS25W;1;Параметры_станции.OBJECT1.PAR_MAIN[21].P_MS25W;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_PDNK;1;Параметры_станции.OBJECT1.PAR_MAIN[28].P_PDNK;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_PDNS;1;Параметры_станции.OBJECT1.PAR_MAIN[29].P_PDNS;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_RO_S;1;Параметры_станции.OBJECT1.PAR_MAIN[15].P_RO_S;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_RO_SK;1;Параметры_станции.OBJECT1.PAR_MAIN[16].P_RO_SK;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
Параметры_станции;PAR_MAIN[*].P_T_RR;1;Параметры_станции.OBJECT1.PAR_MAIN[24].P_T_RR;—;нет данных;FLOAT;параметры объекта в контроллере — saved_params<float> / run_time_params_float, в архиве дробные;высокая;;
